classification_feature,external_feature,correlation
functional_archetype=monitor,trigger=scheduled,0.3748425285406083
functional_archetype=monitor,retrieve_tasks_by_filters,0.3559744584188439
functional_archetype=creator,post_reply,0.33463785858455525
functional_archetype=monitor,todo_write,0.3336733241894248
functional_archetype=monitor,post_chat_message,0.32728564967282275
functional_archetype=monitor,retrieve_activity,0.31237309790412965
functional_archetype=creator,trigger=introduction,0.22181427613262422
functional_archetype=creator,generate_image,0.20598032270175134
functional_archetype=organizer,update_task,0.2038730552309732
functional_archetype=monitor,find_stale_tasks,0.19275236785697097
functional_archetype=creator,todo_write,-0.40330884411383744
functional_archetype=creator,retrieve_tasks_by_filters,-0.3556399260737553
functional_archetype=creator,trigger=scheduled,-0.2997634971342426
functional_archetype=monitor,post_reply,-0.2668250857244606
functional_archetype=creator,retrieve_activity,-0.19825935348901047
functional_archetype=creator,post_chat_message,-0.19076022478740928
functional_archetype=creator,trigger=automation,-0.180431557566301
functional_archetype=creator,load_custom_fields,-0.17526292888847783
functional_archetype=creator,load_assets,-0.17260136615811036
functional_archetype=creator,search_workspace,-0.16516197662105608
