classification_feature,external_feature,correlation
implied_end_date=true,create_task,0.0360533305600287
implied_end_date=true,create_subtask,0.024654076848766554
implied_end_date=false,load_custom_fields,0.023610910155061705
implied_end_date=false,retrieve_personal_priorities,0.02327590950950824
implied_end_date=false,trigger=automation,0.022427509291805793
implied_end_date=true,create_list,0.019879173692794162
implied_end_date=false,retrieve_activity,0.018921509605461694
implied_end_date=true,search_workspace,0.0187896116776037
implied_end_date=unknown,template=unknown,0.017264529642098483
implied_end_date=unknown,trigger=unknown,0.017264529642098483
implied_end_date=false,create_task,-0.034105308960606776
implied_end_date=false,create_subtask,-0.023412953869589602
implied_end_date=true,retrieve_personal_priorities,-0.02281717080504565
implied_end_date=true,load_custom_fields,-0.022704503152666065
implied_end_date=true,trigger=automation,-0.021229366250375872
implied_end_date=false,create_list,-0.018944460451849634
implied_end_date=unknown,todo_write,-0.017603799602455807
implied_end_date=true,retrieve_activity,-0.017584227911611714
implied_end_date=unknown,template=custom,-0.01726452964209849
implied_end_date=false,search_workspace,-0.01714511733933745
