classification_feature,external_feature,correlation
operational_scope=multi_workflow_orchestration,trigger=scheduled,0.1877969003428782
operational_scope=multi_workflow_orchestration,todo_write,0.15912613601775974
operational_scope=multi_workflow_orchestration,retrieve_tasks_by_filters,0.1543701795629641
operational_scope=multi_workflow_orchestration,read_memory,0.14940098583190908
operational_scope=sequential_workflow,post_reply,0.13123520331074295
operational_scope=multi_workflow_orchestration,post_chat_message,0.10581883461422725
operational_scope=multi_workflow_orchestration,search_workspace,0.09015930134366448
operational_scope=sequential_workflow,trigger=dm,0.0734892012604378
operational_scope=multi_workflow_orchestration,search_google_calendar,0.06873011303524892
operational_scope=sequential_workflow,create_document,0.06279663996372739
operational_scope=sequential_workflow,trigger=scheduled,-0.15534482359325702
operational_scope=multi_workflow_orchestration,post_reply,-0.1413973568451302
operational_scope=sequential_workflow,retrieve_tasks_by_filters,-0.10453685189296767
operational_scope=sequential_workflow,todo_write,-0.10193176601390928
operational_scope=multi_workflow_orchestration,trigger=introduction,-0.09431479252332836
operational_scope=sequential_workflow,post_chat_message,-0.08450753830545918
operational_scope=sequential_workflow,retrieve_activity,-0.06415526732192282
operational_scope=sequential_workflow,read_memory,-0.0626812623630229
operational_scope=sequential_workflow,trigger=automation,-0.05880588957489068
operational_scope=sequential_workflow,post_task_comment,-0.052006214810502556
