classification_feature,external_feature,correlation
output_modality=structured_document,create_document,0.35977553417224567
output_modality=structured_document,create_document_page,0.29033873677941235
output_modality=visual_image,generate_image,0.28382658675847056
output_modality=email_external_message,gmail_create_draft,0.2724330160650698
output_modality=visual_image,edit_image,0.2647114664112175
output_modality=task_artifact,create_task,0.2503882175182956
output_modality=email_external_message,view_tools_catalog,0.2310993681976483
output_modality=messages,post_chat_message,0.22720784152301812
output_modality=messages,retrieve_tasks_by_filters,0.21605620831697978
output_modality=structured_document,update_document,0.21405970468901095
output_modality=visual_image,todo_write,-0.26183589643145416
output_modality=visual_image,retrieve_tasks_by_filters,-0.1908641102292867
output_modality=visual_image,trigger=scheduled,-0.1713423020956472
output_modality=messages,create_document,-0.1590829524161029
output_modality=visual_image,load_assets,-0.15860105432832847
output_modality=messages,post_reply,-0.1519608467601382
output_modality=messages,generate_image,-0.13487229716138557
output_modality=messages,create_document_page,-0.12695840627340235
output_modality=visual_image,search_workspace,-0.12631734497809086
output_modality=task_artifact,post_chat_message,-0.11275172424712239
