classification_feature,external_feature,correlation
state_persistence=state_accumulating,update_document,0.22882099618588223
state_persistence=state_accumulating,create_document_page,0.1902533134002646
state_persistence=state_accumulating,search_workspace,0.16425848646650182
state_persistence=state_accumulating,create_document,0.14228540548440738
state_persistence=state_accumulating,read_memory,0.1219701340085445
state_persistence=state_accumulating,load_assets,0.10344623669910112
state_persistence=state_accumulating,todo_write,0.09714015025585407
state_persistence=state_accumulating,trigger=scheduled,0.07410978028774286
state_persistence=state_accumulating,write_memory,0.06089961411747065
state_persistence=state_referencing,read_memory,0.0607432994321388
state_persistence=unknown,update_document,-0.1765656594095716
state_persistence=unknown,create_document_page,-0.14302036513663105
state_persistence=unknown,read_memory,-0.13767448330789933
state_persistence=unknown,search_workspace,-0.13364761156645996
state_persistence=unknown,create_document,-0.1035248628293723
state_persistence=unknown,write_memory,-0.07099872070436768
state_persistence=unknown,trigger=scheduled,-0.06594523997800415
state_persistence=unknown,load_assets,-0.06575292191749965
state_persistence=unknown,search_public_web,-0.06228711322589121
state_persistence=unknown,todo_write,-0.06123819711516278
