classification_feature,external_feature,correlation
team_orientation=larger_team,post_chat_message,0.185547917548582
team_orientation=larger_team,search_users_and_teams,0.13009496012095828
team_orientation=larger_team,post_slack_message,0.10834540881069628
team_orientation=small_team,post_chat_message,0.09536295535212881
team_orientation=larger_team,trigger=scheduled,0.08849538605923206
team_orientation=individual,post_reply,0.0883357406223039
team_orientation=larger_team,retrieve_tasks_by_filters,0.07840564667613578
team_orientation=larger_team,todo_write,0.07806732017488992
team_orientation=small_team,search_users_and_teams,0.07668308242641013
team_orientation=small_team,todo_write,0.071028379831074
team_orientation=individual,post_chat_message,-0.17574663503433074
team_orientation=individual,search_users_and_teams,-0.13295196801604767
team_orientation=individual,todo_write,-0.09335434252057322
team_orientation=individual,trigger=scheduled,-0.09303862727771506
team_orientation=individual,retrieve_tasks_by_filters,-0.08404812679333448
team_orientation=individual,post_slack_message,-0.0820164280405989
team_orientation=individual,read_memory,-0.07087038594684736
team_orientation=larger_team,post_reply,-0.0699661780521855
team_orientation=individual,post_task_comment,-0.06664710018998712
team_orientation=small_team,post_reply,-0.06469223899312146
