classification_feature,external_feature,correlation
tone_and_persona=professional_formal,todo_write,0.14170604625454583
tone_and_persona=professional_formal,load_assets,0.11693944222766191
tone_and_persona=casual_friendly,post_reply,0.09629705327402759
tone_and_persona=professional_formal,retrieve_tasks_by_filters,0.09382928327721045
tone_and_persona=professional_formal,retrieve_activity,0.0889044217087614
tone_and_persona=professional_formal,trigger=automation,0.08650900625537242
tone_and_persona=casual_friendly,edit_image,0.0860583194240816
tone_and_persona=professional_formal,load_custom_fields,0.08364938312794862
tone_and_persona=casual_friendly,trigger=introduction,0.08168260951066182
tone_and_persona=professional_formal,post_task_comment,0.08130755233818263
tone_and_persona=casual_friendly,todo_write,-0.12899085751632397
tone_and_persona=casual_friendly,load_assets,-0.12063312654745716
tone_and_persona=professional_formal,post_reply,-0.10382875063067042
tone_and_persona=casual_friendly,load_custom_fields,-0.08437495292937365
tone_and_persona=professional_formal,trigger=introduction,-0.07816239428548907
tone_and_persona=casual_friendly,retrieve_tasks_by_filters,-0.07703553517415353
tone_and_persona=casual_friendly,trigger=automation,-0.07393244926170935
tone_and_persona=casual_friendly,search_workspace,-0.07034841913081849
tone_and_persona=professional_formal,generate_image,-0.06997030457892112
tone_and_persona=casual_friendly,post_task_comment,-0.0693493116235689
