classification_feature,external_feature,correlation
use_case_context=general_productivity,retrieve_activity,0.1535582388686359
use_case_context=general_productivity,retrieve_tasks_by_filters,0.14285404268981933
use_case_context=general_productivity,retrieve_personal_priorities,0.12858345175211403
use_case_context=general_productivity,trigger=scheduled,0.11969962649531275
use_case_context=general_productivity,todo_write,0.11887998971776954
use_case_context=general_productivity,post_chat_message,0.11614723272362218
use_case_context=personal_use_case,post_reply,0.11542741339269864
use_case_context=general_productivity,find_stale_tasks,0.10117363905051703
use_case_context=specific_use_case,load_assets,0.10038134497722159
use_case_context=specific_use_case,load_custom_fields,0.09572351361443977
use_case_context=personal_use_case,todo_write,-0.1244941814284524
use_case_context=specific_use_case,retrieve_personal_priorities,-0.11772227824885306
use_case_context=general_productivity,post_reply,-0.1067334916264188
use_case_context=personal_use_case,retrieve_tasks_by_filters,-0.10372201623298662
use_case_context=general_productivity,search_public_web,-0.09673999249691814
use_case_context=specific_use_case,post_chat_message,-0.0962200136660221
use_case_context=specific_use_case,trigger=scheduled,-0.09069267819279273
use_case_context=personal_use_case,retrieve_activity,-0.08632665124197446
use_case_context=personal_use_case,trigger=automation,-0.08525231646207158
use_case_context=personal_use_case,load_assets,-0.08152831479907405
