,dormant,failure,success
add_agent_schedule,0.0015478738893650694,0.002904308274563768,0.005229904478337558
add_task_to_list,0.0013663170997112789,0.0024611828749700805,0.005223520169882723
check_calendar_availability,0.0005615164616456407,0.0011881511659439326,0.001148093589720763
complete_execution,5.861236308533498e-06,4.629812925463006e-05,0.0001591545254403817
create_custom_field,0.003495985963551474,0.001732029157704431,0.0026620511522611836
create_document,0.021175670309656284,0.00925660730461863,0.021573831972128952
create_document_page,0.02159537286877522,0.012003578488982043,0.037084904907769424
create_google_calendar_event,0.005162907284828869,0.005264898038246193,0.010673863286358182
create_list,0.008357639368820755,0.004566717561445028,0.0064241928347021
create_subtask,0.05418171056415074,0.03474950152629526,0.07555824506291174
create_task,0.086700127715646,0.06061375494767673,0.15299400903393504
delete_memory,8.150970701730215e-07,1.2040811885608588e-06,5.519109796394581e-06
edit_image,0.03308548858192019,0.0018400829301012426,0.003762964927436519
find_similar_assets,0.0002098685489155529,0.0005936086186266211,0.0009461578796165737
find_stale_tasks,0.0030533171260645996,0.012363174920941553,0.03312952807222356
follow_up_cursor_agent,2.6894447108013055e-05,2.104308977305837e-05,1.8898269163380513e-05
generate_image,0.0893209562595439,0.009924386356381782,0.022603705229974513
generate_project_summary,0.0036486796759266915,0.008750698886900053,0.03883767079246936
generate_project_update,0.003549415293826631,0.012016385834129957,0.041758857884383535
generate_stand_up,0.0012098563178534584,0.005249878632261656,0.014797365001048978
get_cursor_agent,2.8547178494538997e-05,2.75178866263071e-05,2.8079614505913555e-05
gmail_create_draft,0.0020004193512699786,0.00476611778466349,0.009830631869070601
gmail_fetch_drafts,0.0001547104923841419,0.0008037995275092275,0.0014452626151473045
launch_cursor_agent,0.00018520608082948285,0.0002460422804234517,0.00013848529224987338
list_available_calendars,0.00014185907629511995,0.0001017468076939086,6.789024671422288e-05
load_assets,0.12333679355738471,0.1386230101684374,0.2950048449458519
load_custom_fields,0.025123641735455775,0.044457791754531066,0.08157778351056405
load_web_pages,0.011310324166270034,0.009333091932933043,0.024017968533119386
manage_personal_priorities,0.004542266603889703,0.015271268275724942,0.034091850923992396
move_task_to_list,0.0018047993795339806,0.0021973501498003785,0.004310600937673215
post_chat_message,0.0916447363134077,0.1291874142861714,0.36757658719702524
post_reply,0.7966926361809271,0.3222493511779287,0.36366235222337057
post_slack_message,0.0010155037384083265,0.0036639890695439447,0.006913382714942151
post_task_comment,0.05150262892746313,0.0981836621628728,0.18643970491262746
read_memory,0.018327659098112157,0.045153355425832556,0.1495153272848112
reflect,1.8748021185959065e-05,0.0001799000985060253,0.00015140315942218784
rename_memory,5.363864590816012e-06,2.1030457508423096e-06,1.629701968466778e-06
retrieve_activity,0.027475486304220014,0.08302496795532015,0.24240170679993933
retrieve_chat_messages,0.015812672654619154,0.011498216451754863,0.023640661277787932
retrieve_personal_priorities,0.005728260886595802,0.016283171265121146,0.04784356332809544
retrieve_tasks_by_filters,0.09122587855319426,0.21440891712520535,0.615637308588144
search_clickup_help_center,0.0007608787059611836,0.0002951125744360513,0.001909320419155638
search_clickup_support_resources,0.0005096359032349757,0.000407946558304594,0.0012746817510942763
search_google_calendar,0.0038927341419601547,0.012169339523067486,0.02805691184813778
search_public_web,0.03640117845211014,0.02689345300663521,0.11463902941228436
search_users_and_teams,0.004758321010624953,0.010336120508932905,0.021984226289500027
search_workspace,0.06407198725244671,0.09242462535992756,0.2366480315578964
todo_write,0.8157080104210128,1.1852228890132492,3.1515308065864143
update_chat_message,2.8502793516773607e-05,7.821173879075035e-06,7.167300480676796e-05
update_comment,0.0002848853685497718,0.0007204243265471929,0.0009780166250543299
update_document,0.008236030644923356,0.010346457002690329,0.028271902777078278
update_google_calendar_event,0.0004943826870009033,0.0006762495218545694,0.0014996965319291017
update_task,0.06600362579875105,0.08718381453946218,0.16807994584770136
view_tools_catalog,0.02620180618574889,0.028162221268489104,0.04462558299104408
write_memory,0.011457901590622608,0.01454250505775102,0.028526130826781283
