tool,mean_success,mean_failure,p_value
write_memory,0.02852613082678128,0.014542505057751022,0.0
view_tools_catalog,0.04462558299104408,0.028162221268489104,0.0
post_chat_message,0.36757658719702524,0.12918741428617136,0.0
post_reply,0.36366235222337057,0.3222493511779287,0.0
post_task_comment,0.18643970491262749,0.09818366216287279,0.0
read_memory,0.14951532728481118,0.04515335542583256,0.0
retrieve_activity,0.24240170679993936,0.08302496795532015,0.0
retrieve_chat_messages,0.023640661277787932,0.011498216451754865,0.0
load_custom_fields,0.08157778351056404,0.044457791754531066,0.0
create_task,0.15299400903393504,0.06061375494767673,0.0
retrieve_tasks_by_filters,0.6156373085881439,0.21440891712520535,0.0
search_workspace,0.23664803155789646,0.09242462535992754,0.0
todo_write,3.1515308065864143,1.1852228890132492,0.0
update_task,0.16807994584770136,0.08718381453946218,0.0
load_assets,0.2950048449458519,0.1386230101684374,0.0
search_public_web,0.11463902941228435,0.02689345300663521,6.641232505744754e-294
generate_project_summary,0.03883767079246936,0.008750698886900053,1.4399424796877832e-270
create_document,0.021573831972128952,0.00925660730461863,2.7845650301481024e-269
create_document_page,0.037084904907769424,0.012003578488982043,8.571595470473356e-245
search_users_and_teams,0.021984226289500027,0.010336120508932903,3.198961669032785e-223
create_subtask,0.07555824506291174,0.034749501526295246,1.0210541889187878e-213
generate_project_update,0.04175885788438353,0.012016385834129955,2.164183257824714e-188
add_agent_schedule,0.005229904478337559,0.0029043082745637675,1.3945732020802997e-184
update_document,0.028271902777078278,0.010346457002690329,2.34582239905796e-174
retrieve_personal_priorities,0.04784356332809543,0.016283171265121146,1.5786554443041143e-157
load_web_pages,0.024017968533119386,0.009333091932933045,1.640359816350758e-153
find_stale_tasks,0.03312952807222356,0.012363174920941553,2.221244097769012e-116
generate_image,0.022603705229974517,0.00992438635638178,1.0375788841677718e-111
create_list,0.0064241928347020995,0.004566717561445028,2.713727905435459e-97
generate_stand_up,0.014797365001048978,0.005249878632261656,2.541047011638693e-67
search_google_calendar,0.02805691184813778,0.012169339523067485,6.187025463347754e-65
update_comment,0.0009780166250543299,0.0007204243265471928,1.9762999319420208e-52
manage_personal_priorities,0.034091850923992396,0.015271268275724942,3.219060075451148e-49
create_google_calendar_event,0.010673863286358182,0.005264898038246193,2.094465081461491e-43
move_task_to_list,0.0043106009376732155,0.0021973501498003785,1.1698214412324284e-42
search_clickup_help_center,0.001909320419155638,0.0002951125744360513,9.066321143763506e-40
search_clickup_support_resources,0.0012746817510942761,0.000407946558304594,9.282064828682501e-39
gmail_create_draft,0.009830631869070601,0.00476611778466349,1.8100977462284864e-37
create_custom_field,0.0026620511522611836,0.0017320291577044308,2.619519169693395e-37
edit_image,0.003762964927436519,0.0018400829301012422,1.9763156270541357e-28
add_task_to_list,0.005223520169882723,0.0024611828749700805,2.0095396252126432e-26
update_google_calendar_event,0.0014996965319291017,0.0006762495218545694,2.4535152057795793e-22
check_calendar_availability,0.001148093589720763,0.0011881511659439326,4.0959333897102665e-16
gmail_fetch_drafts,0.0014452626151473043,0.0008037995275092274,2.2601460057787787e-13
update_chat_message,7.167300480676794e-05,7.821173879075033e-06,9.021852674513815e-09
post_slack_message,0.006913382714942151,0.003663989069543945,1.0502408230893121e-08
complete_execution,0.00015915452544038172,4.629812925463006e-05,7.774173586852847e-08
reflect,0.00015140315942218784,0.00017990009850602529,4.8525151991639545e-06
delete_memory,5.519109796394581e-06,1.2040811885608588e-06,0.004323790267384044
find_similar_assets,0.0009461578796165737,0.0005936086186266211,0.011428510731088845
list_available_calendars,6.789024671422288e-05,0.00010174680769390859,0.0169608729327713
rename_memory,1.6297019684667782e-06,2.1030457508423096e-06,0.18894863089176062
launch_cursor_agent,0.00013848529224987338,0.0002460422804234517,0.1977806455319444
get_cursor_agent,2.807961450591355e-05,2.75178866263071e-05,0.604796099842887
follow_up_cursor_agent,1.889826916338051e-05,2.104308977305837e-05,0.6048123917936253
