feature,value_bin,mean_shap,n_agents
add_agent_schedule,q1,-0.0008269107181072978,483
add_agent_schedule,q4,0.017093909184843197,17
add_task_to_list,q1,6.594249491268113e-06,494
add_task_to_list,q4,0.0008178499553241638,6
check_calendar_availability,q1,0.0,497
check_calendar_availability,q4,0.00399329965671465,3
complete_execution,q1,0.0,500
create_custom_field,q1,5.6570583689527e-05,497
create_custom_field,q4,-0.002411620596171815,3
create_document,q1,2.356731322299694e-05,471
create_document,q4,-0.001253816771161118,29
create_document_page,q1,-0.00035525100680315413,479
create_document_page,q4,0.006647177629278901,21
create_google_calendar_event,q1,0.0,496
create_google_calendar_event,q4,0.0013015457931848573,4
create_list,q1,0.0,494
create_list,q4,-0.00567491697315442,6
create_subtask,q1,0.00020958764656577568,482
create_subtask,q4,-0.010616450245958049,18
create_task,q1,-0.0007800627550012282,444
create_task,q4,0.006504933533429233,56
delete_memory,q1,0.0,500
edit_image,q1,0.0004761364922949109,482
edit_image,q4,-0.015477585036117918,18
find_similar_assets,q1,0.0,500
find_stale_tasks,q1,0.0,491
find_stale_tasks,q4,0.004330009266677735,9
follow_up_cursor_agent,q1,0.0,500
generate_image,q1,0.0013082814062734256,462
generate_image,q4,-0.015819001707098074,38
generate_project_summary,q1,0.0,487
generate_project_summary,q4,0.03764162243820587,13
generate_project_update,q1,-0.0005031559247366896,484
generate_project_update,q4,0.029108065227442522,16
generate_stand_up,q1,0.0,496
generate_stand_up,q4,0.006443345850041169,4
get_cursor_agent,q1,0.0,500
gmail_create_draft,q1,0.0,496
gmail_create_draft,q4,0.007234547987183078,4
gmail_fetch_drafts,q1,0.0,497
gmail_fetch_drafts,q4,-0.00017250743167096516,3
launch_cursor_agent,q1,0.0,500
list_available_calendars,q1,0.0,500
load_assets,q1,-0.015275823566856798,330
load_assets,q3,0.04126677870450042,45
load_assets,q4,0.025201185220166625,125
load_custom_fields,q1,-0.0007926092877663187,461
load_custom_fields,q4,0.011016362062417304,39
load_web_pages,q1,-0.0004118760999103521,483
load_web_pages,q4,0.005820248708172558,17
manage_personal_priorities,q1,1.66137470402021e-05,495
manage_personal_priorities,q4,0.0011012540264564448,5
move_task_to_list,q1,-0.00012477020395075034,497
move_task_to_list,q4,0.009127509955271005,3
post_chat_message,q1,-0.01281884013564582,317
post_chat_message,q3,0.015960536309154956,58
post_chat_message,q4,0.02443699314915292,125
post_reply,q1,0.06596386607558885,125
post_reply,q2,0.010907132482875184,128
post_reply,q3,-0.05115912199288538,245
post_reply,q4,-0.07621774156019456,2
post_slack_message,q1,0.0,496
post_slack_message,q4,-0.0003618142185382566,4
post_task_comment,q1,-0.004238319483263773,420
post_task_comment,q4,0.023641119064930077,80
read_memory,q1,-0.06533195685652096,360
read_memory,q3,0.13951253554351833,15
read_memory,q4,0.13060546123118033,125
reflect,q1,0.0,500
rename_memory,q1,-5.97686294040723e-09,499
rename_memory,q4,0.0,1
retrieve_activity,q1,-0.009056530543238895,432
retrieve_activity,q4,0.06494446484015827,68
retrieve_chat_messages,q1,0.0005626583389368355,448
retrieve_chat_messages,q4,-0.0031082380040186965,52
retrieve_personal_priorities,q1,-1.905109104665268e-05,483
retrieve_personal_priorities,q4,0.006844817654345714,17
retrieve_tasks_by_filters,q1,-0.018310069392333407,352
retrieve_tasks_by_filters,q3,0.025346298915689573,23
retrieve_tasks_by_filters,q4,0.054941140687081155,125
search_clickup_help_center,q1,0.0,499
search_clickup_help_center,q4,0.0061146661225347995,1
search_clickup_support_resources,q1,0.0,497
search_clickup_support_resources,q4,0.004489580645004025,3
search_google_calendar,q1,0.0,490
search_google_calendar,q4,0.00681983088061156,10
search_public_web,q1,-0.0007562845619496388,479
search_public_web,q4,0.020222718956685985,21
search_users_and_teams,q1,-0.000983367512843613,483
search_users_and_teams,q4,0.019421528879079948,17
search_workspace,q1,-0.010775388011244795,386
search_workspace,q4,0.035747510971469686,114
todo_write,q1,-0.06115960612995178,227
todo_write,q2,-0.01268152059607088,23
todo_write,q3,0.0017330733954831346,125
todo_write,q4,0.09529633892630894,125
update_chat_message,q1,0.0,498
update_chat_message,q4,-0.00011790779668444883,2
update_comment,q1,-5.693822094309404e-05,497
update_comment,q4,0.005052821038361799,3
update_document,q1,-0.00020848958801034055,489
update_document,q4,0.008550493986221723,11
update_google_calendar_event,q1,0.0,498
update_google_calendar_event,q4,0.002601785002220822,2
update_task,q1,-0.0017225596418493539,429
update_task,q4,0.01054551040152791,71
view_tools_catalog,q1,-0.0008084105167554605,429
view_tools_catalog,q4,0.01304796178672337,71
write_memory,q1,-0.0005261547112515672,445
write_memory,q4,0.007010221235463168,55
