,mean_abs_shap,mean_shap
read_memory,0.08387575031079589,-0.010202267562594432
todo_write,0.05761866330832668,-0.004092458049969342
post_reply,0.05218767713119517,-0.006089648308241338
retrieve_tasks_by_filters,0.027791503774094766,0.002010926069689289
load_assets,0.020149440158401817,-6.773716567879762e-05
retrieve_activity,0.016657289607619877,0.0010076048289031192
search_workspace,0.016469032046176037,-0.00016816704318589393
post_chat_message,0.016215826198969042,-0.0001664741468492454
post_task_comment,0.008513188147507485,0.00022239068444724304
update_task,0.004495530627154502,1.950630431021671e-05
write_memory,0.003269781644195366,0.0003028466428870527
view_tools_catalog,0.002900904521324037,0.001159194350338532
generate_image,0.002411096149136088,6.607889657191375e-06
load_custom_fields,0.0018719802265100233,0.00012849047754800384
search_users_and_teams,0.0016155488835257192,-0.0002896010355182122
search_public_web,0.0015738748065285634,0.00012483358583305592
create_task,0.001459143183448628,3.585682930298329e-05
generate_project_update,0.0014185130224232758,0.0004444031521330451
add_agent_schedule,0.0013972999169081033,-0.0002176028414069815
retrieve_chat_messages,0.0013409621507772269,0.0001808851192694596
edit_image,0.001016188639872538,-9.819748272795083e-05
generate_project_summary,0.0009786821833933526,0.0009786821833933526
create_subtask,0.0006823988793193623,-0.00018014971756508244
create_document_page,0.0006195823412274945,-6.114900408770777e-05
create_document,0.0005979960752666337,-5.0520963671281314e-05
load_web_pages,0.000595760768591266,-0.00019998385643553318
update_document,0.0003929097312325572,-1.579194937723513e-05
retrieve_personal_priorities,0.0003472316756474619,0.00021432044629668726
move_task_to_list,0.00019013924937216832,-6.925652299541968e-05
search_google_calendar,0.00016479493437186193,0.00013639661761223121
update_comment,9.16199893645897e-05,-2.6279665387264686e-05
find_stale_tasks,8.034155683694734e-05,7.794016680019921e-05
create_custom_field,7.30683920475167e-05,4.176143661035899e-05
create_list,6.809900367785304e-05,-6.809900367785304e-05
manage_personal_priorities,6.299458294225134e-05,2.746014983436455e-05
gmail_create_draft,5.7876383897464625e-05,5.7876383897464625e-05
generate_stand_up,5.154676680032935e-05,5.154676680032935e-05
add_task_to_list,3.745985146675603e-05,1.6329317961262855e-05
search_clickup_support_resources,2.693748387002415e-05,2.693748387002415e-05
check_calendar_availability,2.3959797940287903e-05,2.3959797940287903e-05
post_slack_message,1.7821355107353158e-05,-2.8945137483060532e-06
update_google_calendar_event,1.4119928798663751e-05,1.0407140008883289e-05
search_clickup_help_center,1.2229332245069599e-05,1.2229332245069599e-05
create_google_calendar_event,1.1430149487239304e-05,1.0412366345478858e-05
gmail_fetch_drafts,1.1254173983616054e-06,-1.0350445900257909e-06
update_chat_message,8.027548035170184e-07,-4.7163118673779535e-07
rename_memory,5.964909214526416e-09,-5.964909214526416e-09
get_cursor_agent,0.0,0.0
find_similar_assets,0.0,0.0
complete_execution,0.0,0.0
delete_memory,0.0,0.0
list_available_calendars,0.0,0.0
launch_cursor_agent,0.0,0.0
reflect,0.0,0.0
follow_up_cursor_agent,0.0,0.0
